类别	新闻标题	新闻内容
汽车	Ｍａｚｄａ３　２．０　ＭＴ	Ｍａｚｄａ３　２．０　ＭＴ　豪华型　２０１１款　最新报价
汽车	对手锁定ＧＴＩ　西雅特ＬＥＯＮ　ＣＵＰＲＡ到店实拍	西雅特ＬＥＯＮ的上市给喜欢大众喜欢运动的朋友一个更多的选择，动感的造型，时尚并运动的内饰让西雅特成了ＧＴＩ强有力的竞争对手，而相同的轴距以及部分相同的设计，也让它们俩走的更近。而西雅特ＣＵＰＲＡ款型拥有着普通版那些优点以外，还有着更多不一样的设计，详情请往下看。Ｍ夤鄄糠铸Ｕ馐且豢钪鞔蛟硕的紧凑型轿车，从前脸看去就可以明显的感觉到它的运动气息，发动机盖上那动感的棱线就可以完全烘托出这种气质，当然还包括那犀利的前大灯，因为车头的线条勾勒使得前大灯如同多了两条泪痕。前脸进气格栅右上方位置是能最直观分辨出西雅特ＬＥＯＮ　ＣＵＰＲＡ不同车型的地方。＃蹋牛希巍。茫眨校遥脸敌秃透叨夫　ＧＴＩ相比，虽然拥有相同的轴距，不过西雅特ＬＥＯＮ　ＣＵＰＲＡ在车身的长度上面要略微９６ｍｍ的优势，但是在宽和高上面则要小一些，不过都只有２０ｍｍ数据的差异，在视觉上不会感受到明显差异。Ｕ体车型的样式上，与我们以往接触过的车型略有不同，西雅特ＬＥＯＮ　ＣＵＰＲＡ的造型显得有些另类，尤其是侧面看过去，车身线条十分流畅，也许这种独辟蹊径的造型能征得更多喜欢＂不走寻常路＂的人青睐。５谝谎劭吹剑蹋牛希蔚某滴膊可杓疲让我感觉像是看到了一款阿尔法罗密欧的车，细长的尾灯造型的确有些许相似。但当车灯点亮的时候，便会让你再次回到主题，意识到大众的存在。＃蹋牛希巍。茫眨校遥敛捎玫氖撬疝气大灯，带有弯道照明系统，雾灯同样也提供了弯道辅助照明的功能。大灯除了清洗功能外，还提供了加热的功能。Ｎ驳撇捎靡惶迨缴杓疲内嵌有ＬＥＤ灯组，并且尾灯还有一项很人性化的设计，当尾门被打开时，ＬＥＤ尾灯内侧的光源会自动熄灭，彻底关闭尾门后，它会自动亮起，这样的设计可以让使用者在夜间也可以掌握尾门是否关紧了。１冉衔引我的就是ＬＥＯＮ的后车门拉手设计，虽然这种隐藏式拉手设计也很常见，但是它并没有简单的设计一个普通的拉手，后部三角窗的造型才是这里最大的亮点所在。＃蹋牛希巍。茫眨校遥敛捎茫保酚⒋缥宸双骨轮圈搭配２２５／４５轮胎以及高性能刹车系统，足以和车辆本身强劲的动力性能相匹配。
汽车	九江理念Ｓ１享３０００元惠民补贴　店内现车	【网上车市九江站讯】理念Ｓ１是广汽本田自主品牌的首款量产车型，与思迪同一个设计平台。目前，九江地区购买理念Ｓ１享３０００元惠民补贴，店内有现车，具体售价如下表：＞莨闫本田汽车销售人员表示，购买理念Ｓ１享受３０００元的惠民补贴，销售人员还表示，该款车型货源比较紧张，全系有少量现车，有兴趣的朋友不妨咨询相关经销商。Ｐ鲁登傲澈裰卮笃，搭配时尚锐利的大灯设计，彰显独特的产品魅力，尾部造型动感饱满，令人过目不忘，侧面线条简洁流畅，时尚而不失大气，动感又不失稳健。＠砟睿樱蹦谑斡胨嫉霞负跬耆一致，做工较粗糙，塑料感较强；配置一般；顶配车型配备的天窗采用了无色玻璃，夏季实用性较差。＠砟睿樱苯搭载１．３Ｌ、１．５Ｌ两种排量的发动机，为Ｈｏｎｄａ备受赞誉的ｉ－ＤＳＩ发动机和经典的ＶＴＥＣ发动机，动力和油耗双优，能够为消费者带来环保、愉悦的驾乘体验。１．３Ｌ发动机的参数是最大功率为８２马力，最大扭矩为１１６Ｎ．ｍ；１．５Ｌ发动机的最大功率为１０７马力，最大扭矩为１４３Ｎ．ｍ，这些参数基本与思迪相同。１嗉点评：理念Ｓ１是一款较为实用的家轿，空间较大。　理念Ｓ１使用的是型号为Ｌ１５Ａ１的本田ＶＴＥＣ自然吸气发动机，排量为１．５Ｌ。延续了日系车节油的特性。
汽车	自由客Ｐａｔｒｉｏｔ　２．４　ＣＶＴ　经典版　２０１１款　最新报价	经销商　电话　试驾／订车３啥际谢鸪的险疚髀罚福叮岛牛矗埃埃福１１２２３３转７８２２＃玻常８９万Ｖ厍焓心习肚七公里、重庆市渝北区汽博中心名广场内＃矗埃埃福１１２２３３转７９３６＃玻常８９万Ｎ魅环丰益桥西国贸汽车基地Ａ１栋西厅００１室４００８－１１２２３３转８８５７＃保梗１３万１本┦蟹崽ㄇ丰益桥南西国贸汽配城一层＃保梗８９万【４Ｓ店授权级代理】北京市丰台区．丰益桥．汽车基地Ａ１栋１０１７Ｂ＃保福８９万１本┦蟹崽ㄇ丰益桥丰管路１６号４００８－１１２２３３转８６２６＃玻埃８９万３ご焊咝驴发区硅谷大街３７８８号４００８－１１２２３３转２３８３＃玻常８９万１本┦蟹崽ㄇ西三环丰益桥西，西国贸汽车基地，Ａ１－００５室４００８－１１２２３３转８０３９＃玻埃８９万Ｉ钲谑新藓区清水河三路１８号深业车城Ｂ０２＃矗埃埃福１１２２３３转９８０３＃玻常８９万
汽车	嘉路Ｇａｌｕｅ　ｃｏｎｖｅｒｔｉｂｌｅ	Ｇａｌｕｅ　ｃｏｎｖｅｒｔｉｂｌｅ
汽车	乌兰浩特联舰汽车贸易有限公司	业务范围：　新车Ｊ谌ㄆ放疲骸≈行她５刂罚骸∥诶己铺厥行虑沤治逯凶盘．［查看地图］５缁埃骸。埃矗福玻８３２４６６６Ｊ只：Ａ系人：５缱佑氏洌骸。悖螅保保埃常玻梗撸保保保保溃悖瑁澹螅瑁椋ｃｏｍ
汽车	明锐　２．０　ＡＴ　逸杰版　２０１２款　最新报价	经销商　电话　试驾／订车１倍环西路２６８号（中华大街与北二环交口西行５００米路南）＃矗埃埃福１１２２３３转３１６２＃保矗３５万＠ッ魇卸环西路小屯立交路旁高新汽车城内＃矗埃埃福１１２２３３转７３９７＃保矗７０万＜林市高新区工业三区Ａ－３－２号４００８－１１２２３３转２３６５＃保矗３５万Ｎ洳店：武昌区南湖大道保利心语对面　／　汉阳店：汉阳区龙阳大道特８８号４００８－１１２２３３转７５００＃保矗３５万Ｌ原市平阳南路８８号４００８－１１２２３３转３５４９＃保矗３５万１本┦斜本┚济技术开发区东环北路乙１号南厅＃矗埃埃福１１２２３３转８７０５＃保矗３５万＝ㄉ枞路１１３号利家城旁（精文振鸿汽车城）＃矗埃埃福１１２２３３转９４７０＃保矗３５万Ｎ轮荽蟮狼江路７５号１４．３５万：佣区三和东街与东外环交汇处（沂河北大桥东行４公里临沂市新车管所对过）＃保矗３５万＠贾菔邪材区经济技术开发区北滨河路银滩大桥＃矗埃埃福１１２２３３转２８３６＃保担００万８Ｌ锴彩田路３０６９号星河世纪大厦１２０２－１２０３室４００８－１１２２３３转４０３３＃保矗３５万１本┦校西三环－丰益桥－西国贸汽车基地－Ａ１－１０２２展厅。＃保埃７８万Ｉ虾Ｊ行旎闱石龙路３２６－３２８＃矗埃埃福１１２２３３转６７４０＃保埃７６万１本┦蟹崽ㄇ西国贸汽配城Ａ１０２５＃保玻０５万Ｄ贤开发区星湖大道１０７１号４００８－１１２２３３转５６４２＃保矗７５万Ｊ家庄市北二环东路８６号国际汽车贸易园区＃矗埃埃福１１２２３３转３１３３＃保矗３５万Ｒ川德胜工业园区８号（原野物流旁）＃矗埃埃福１１２２３３转３２６１＃保矗３５万
汽车	双龙柯兰多深圳直降１万元　柯兰多特惠中	【网上车市深圳站讯】随着韩国进口双龙汽车的火热销售，其主打ＳＵＶ车型柯兰多凭借时尚、实用、环保、经济等特点赢得各方好评。近日，编者从深圳双龙经销店获悉，目前购进口双龙柯兰多深圳直降１万元并有现车，详询：１３５　１０６６　８２２７陈先生。喜欢柯兰多的网友可在本文下方＂　车市　杀价团＂填写报名。Ｐ滤龙柯兰多完全改变了以往的硬派越野车风格，而是定位于紧凑型城市ＳＵＶ，通过全面的革新设计，以时尚、实用、环保、经济等鲜明特点赢得了各方好评。Ｋ龙柯兰多的车身尺寸为４４１０＊１８３０＊１６７５（ｍｍ），轴距为２６５０（ｍｍ）。尽管ＣＲ－Ｖ并不是柯兰多的直接竞争对手，但我们还是以ＣＲ－Ｖ作为参照物，让柯兰多和它站在一起比一下。轴距柯兰多稍长３０ｍｍ，而车长却是ＣＲ－Ｖ长出１６５ｍｍ。Ｏ啾韧夤鄣目缃绶绺瘢双龙柯兰多内饰就显得单调得多。柯兰多的内装走的是精简的路子，没有太多的功能按键，中控面板铺陈得非常简洁。并采用一些镀铬哑光饰条去刻画层次感。值得欣慰的是，柯兰多各方面的用料，都比较精致，并没有一般ＳＵＶ的那种粗糙感。１嗉点评：柯兰多作为进口双龙旗下车型的代表，柯兰多集时尚外观、宽大空间、卓越动力性能、燃油经济性、出色环保性能于一体，广受双龙汽车爱好者关注和信赖，并被庞大双龙寄予厚望，成为开拓中国市场的重要车型之一。【网上车市深圳站】
汽车	雷诺新款Ｅｓｃａｐｅ　ＭＰＶ曝光　动力高效节能	雷诺２０１３款Ｅｓｃａｐｅ　ＭＰＶ曝光，新款在外观及内饰上进行了很大幅度地改变，动力也更强劲，且更高效节能。４幼橥祭纯矗新款雷诺前脸进行了较大幅度地改变，老款下进气格栅连接两雾灯的镀铬装饰条在新款上没有体现，新款下进气格栅面积有所增加，上格栅增加了连接两大灯的镀铬装饰条，雷诺标志也放大不少，新款前脸设计得圆润饱满，大灯也采用了全新造型，车身线条感十足。＃玻埃埃犊罾着担牛螅悖幔穑妪３的诘谋浠并不是太大，新款车内装上了ＧＰＳ导航仪，Ｂｌｕｅｔｏｏｔｈ／ＡＵＸ／ＵＳＢ连接，车内座套表面特氟龙镀层，防止水或是油性之类的液体弄脏座椅，座椅材质有真皮及Ａｌｃａｎｔａｒａ座椅两种选配，车内还增置了倒车影像系统及后座两个７英寸显示屏娱乐系统。＃玻埃保晨罾着担牛螅悖幔穑迥谑锡６力方面，有两种动力引擎配置：一种为２．０升ｄＣｉ引擎，有三种功率输出，分别为９６、１１０及１２９千瓦，当随之配置手动变速箱时，每百公里燃油消耗５．７升，每公里二氧化碳排放量１５０克，若配自动挡变速箱，那么百公里燃油消耗６．４升，每１公里二氧化碳排放量１６９克；另一种动力引擎为２．０升汽油引擎，百公里燃油消耗８．５升，每１公里二氧化碳排放量为１９８克。
汽车	“铂锐敞篷版”曝光　克莱斯勒２００Ｃ将上市	克莱斯勒２００车型已经在海外上市。近日官方公布了该车的敞篷版细节图片，该车采用软顶敞篷，这是它的一大亮点，软顶构造在减低车身重量和整体使用稳定度上都更胜一筹，这款＂老美＂的敞篷车真的非常惹眼。３ㄅ癜妫玻埃霸谇安吭煨蜕嫌虢纬蛋婷挥星别。不过为了使得加入敞篷后车辆外观更协调，该车由轿车版四门的设定更换为了两门轿跑车的车型设计。一条硬朗的腰线从前轮眉挑起一直镌刻至车尾，整体观感非常连贯。Ｎ膊吭谔砑映ㄅ裰Ъ芎蟪俗空间将比轿车版略小。而因为敞篷机构的特点，它的尾箱内部收纳空间也肯定有一定程度的缩小，但这又能怎样呢，谁会在乎。当打开敞篷的瞬间，所有的阳光会告诉你，克莱斯勒２００敞篷就是你最想要的，阳光布满，生活惬意。５我依然要说它的尾部造型，乍看起来很唯美，但后尾灯与后备箱接壤的设计却总让我觉得它像是一台没有完成的设计品，和柔美大气的前脸比起来，它更像是还没有画完的京剧脸谱儿。Ｄ谑紊杓频木致与发动机的选择将都沿用轿车车型的设计。这也是它带给我的对美国车型的另一个改观，一直以为以舒适和大气著称的美国车，永远不会早出这样精致的内饰，它精致的多功能方向盘，镶嵌着石英计时表的中控台，都让２００敞篷版很有质感。＃玻埃保部羁死乘估眨玻埃俺ㄅ癯到提供一款２．４升的直列四缸发动机和一款３．６升的Ｖ６发动机，匹配６速手自一体变速器。希望敞篷生活的朋友，期待着它能够尽快的走进中国吧。网上车市将与您共同关注。．．．全文　＞　（来源：网上车市）
汽车	不容错过　２０１２北京车展全球首发车前瞻	两年一度的北京国际车展在今日正式拉开了帷幕。在这开展之际，我们将提前为您带来本届车展的全球首发重磅车型。尽管在撰写本文的时候，这些车型可能还处于天马行空的状态，但是提前知晓，可以让您的北京车展之旅更具规划性与针对性。４笾谛吕室蔟Ｐ吕室菔且豢钪衅诟目畛敌停在外观方面加入了一些家族风格，进气格栅、前大灯、尾灯和保险杠等都经过了重新的设计，看起来比老款车型更加时尚些，宽度比现款车型增加了２２ｍｍ，空间方面给会有一定的提升。６力方面将会继续使用１．６Ｌ自然吸气发动机和１．４ＴＳＩ发动机。与之搭配的将会是５挡手动和６挡自动以及７速ＤＳＧ变速箱。新款车型的推出，将会提升产品的新鲜感，继续延续新朗逸的热销状态。０碌希粒福獭。瑁ｂｒｉｄＭ夤鄯矫妫混动版的奥迪Ａ８Ｌ与常规动力车型看起来并没有太多区别，除了车身两侧和车尾部的Ｈｙｂｒｉｄ标志外，都是新款Ａ８Ｌ的外形设计，充满了豪华的商务气息。５比蛔畲蟮那别是来自与动力方面，　Ａ８Ｌ　Ｈｙｂｒｉｄ混合动力车型搭载了最大功率２１１马力的２．０ＴＦＳＩ汽油发动机和电动机组成的动力系统，整套系统能够提供２４５马力的最大功率，最大扭矩为４８０Ｎｍ。０－１００ｋｍ／ｈ加速时间７．９秒，最高时速可以达到２３２ｋｍ／ｈ，综合油耗仅为６．４Ｌ／１００ｋｍ０碌希粒垢拍畛谍Ｔ缒昙湟恢贝闻的奥迪Ａ９很有可能会以概念车的形式在北京车展上首发，据悉Ａ９将定位于Ａ８Ｌ之上成为奥迪新的旗舰车型，将采用轿跑的车身造型。与奔驰ＣＬ和保时捷Ｐａｎａｍｅｒａ争夺运动旗舰型车市场。８据之前的消息，奥迪Ａ９将采用全铝空间框架结构，关键部件来自于模块化纵置构架ＭＬＢ平台。高端奥迪Ａ８车型已经率先使用了这种轻质结构和空气悬架的底盘系统。出于平台化的经济角度考虑，预计奥迪Ａ９将会和兰博基尼会使用相同的部件。
汽车	ＨＦＣ６７００ＪＫ　最新报价	上市时间：－Ｗ刺：在售Ｅ帕浚海埃０（Ｌ）３敌统叽纾撼ぃ罚埃埃担宽２０４０／高２６４５（ｍｍ）Ｖ峋啵海常梗常担ǎ恚恚１渌倨鳎海档担手动７⒍机：－１、柴油发动机９俜胶挠停海升／１００ｋｍ（时速９０ｋｍ）
汽车	雪铁龙Ｃ４文章	关注雪铁龙Ｃ４的用户还关注．．．
汽车	试全新克莱斯勒３００Ｃ　美式风格的坚持者	对于喜欢美式风格汽车的朋友，在美国车被欧洲化的今天，其实很难在新车辈出的国内市场找出一款真正意义上的美国车，美式风格的高级轿车更是少的可怜。而今，当一位曾经在中国扎根的老朋友容光焕发的出现在我眼前时，勾起的不仅仅是回忆，更多的是我对其的敬仰，它就是＂美式风格的坚持者＂全新克莱斯勒３００Ｃ。Ｒ弧⑼夤郏捍笃尊贵　美式＂肌肉车＂的设计不变！纠峡畛敌汀魁Ｔ诮衲辏丛戮傩械模玻埃保材瓯本┏嫡股希克莱斯勒正式在国内亮相了全新的３００Ｃ，这款曾经在国内生产过的车型相信一直关注美系品牌车型的朋友应该很熟悉。２００４年基于老款奔驰Ｅ级平台上打造的第十代３００Ｃ以原装进口的方式引进到国内，当时凭借美式的大气设计、以及个性的肌肉车风格备受关注。随着北汽与当时的戴－克联姻，２００６年第１０代３００Ｃ正式在国内投产，但是好景不长，因为种种原因，导致最终停产。就当我们快将它淡忘的时候，全新的３００Ｃ又回来了。Ｋ淙蝗新３００Ｃ有着新的外观，但这款车型的平台还是基于第１０代车型的平台，只是对外观、动力总成以及内饰进行了重新设计。新３００Ｃ的外观更加大气豪华，但也保留了其肌肉车的造型基因，总体来说在设计方面还是很成功的。３低肺抟墒峭夤鄯矫孀钗引人的设计之一，由多根银色哑光横条组成的立体式前进气格栅，既高贵典雅又保持了美国的风格。车头其它部分还点缀有银色哑光的装饰条，强调了新３００Ｃ的车型定位。Ｗ允视κ剿氙气自动前大灯的设计也可圈可点，不仅外形漂亮功能也十分强大。带随动转向、自动高低调节、远光灯辅助、自动清洗、ＬＥＤ日间行车灯你想要的功能基本上都齐了。５蹦愕谝谎劭醇新３００Ｃ的时候，其实最吸引你的还有四个其尺寸堪比跑车的２０寸抛光铝合金轮毂。俗话说看男人第一眼要看鞋子，一双好鞋从一定程度上能反映出一个人的品味。其实车也一样，拥有一双＂好鞋＂不仅能提升整车的运动气质，更能跑得快站的稳。
汽车	奥迪Ａ７展车已到店　接受预定／约等２个月	奥迪Ａ７　Ｓｐｏｒｔｂａｃｋ　集轿跑车的运动优雅、豪华轿车的舒适性与旅行车的实用性于一身，完美结合了创新设计与动感驾控，开启了五门高档轿跑车新境界。更有那富有传奇色彩的诞生历程，时刻传承着奥迪＂突破科技　启迪未来＂的核心理念。据网上车市价格监测系统显示，目前全新奥迪Ａ７开始接受预定，详情请看下表：＞菀黄奥迪经销商销售人员介绍；目前全新奥迪Ａ７展车已经到店，并且开始接受预定，订金１万元，约等２个月。部分经销商可提供试乘试驾。有喜欢该车的消费者可以联系经销商进一　步了解该车详情。Ｔ谡面特征上，它仍然具备奥迪标志性的的＂大嘴＂进气格栅。但是略加观察您也会发现它的进气格栅又目前国产Ａ６Ｌ的Ｕ型改变为了类似于多边梯形的形状。而＂奥迪四个圈＂的ＬＯＧＯ位置也设计的比较靠上而不是中间或是下方。此外，进气格栅位置的另外的一个特征就是在横向镀铬饰条部分的左右末端，又分出了双线条。这令人很容易想起中国古代士兵的甲胄造型。可以说略带一丝复古，但在如今看来却又有着明显的科技感。Ｄ谑尾糠执臃较蚺滩糠帜芄豢吹桨碌献ㄎ跑车化而设计的三幅运动型方向盘，而通常Ａ８的方向盘是更加舒适化的４幅方向盘。真皮缝制材料的应用是奥迪为豪华车　市场专门打造的。变速器部分与新款Ａ８轿车相同融合了很多功能，例如电子驻车按钮、引擎启动／关闭按钮，以及奥迪下一代ＭＭＩ人机交互系统的控制区域。＃玻８升ＦＳＩ直喷Ｖ６引擎的动力调教要高于现款Ａ８Ｌ入门车款的动力调教，２．８　ＦＳＩ发动机的最大输出功率为１５０　千瓦，在每分钟３，０００到５，０００转的发动机转速区间内均能输出２８０牛ｂ米的峰值扭矩。另一款３．０　ＴＦＳＩ引擎最大输出功率为２２０　千瓦在２，９００　转／分钟时便可获得４４０　牛ｂ米的峰值扭矩。在ｑｕａｔｔｒｏ全时四轮驱动系统和Ｓ　ｔｒｏｎｉｃ双离合自动变速器的协同工作下，从静止加速到１００公里／小时仅需５．６秒（官方数据）１嗉点评：奥迪Ａ７给予国内豪华轿跑车市场带来的应该说是一种全新的的理念。超流线的造型设计，强劲的动力搭配以及丰富的车内配置，成就了它豪华运动的车型定位。相比以往的奥迪车型，Ａ７的设计风格更加张扬高调，走在路上必定成为一道亮丽的风景线。现在全新奥迪Ａ７已经开始预定，展车也已经到店。对这款车感兴趣的消费者可以到店进行更进一步的了解。．．．全文　＞　（来源：网上车市）
汽车	Ｇａｌｉｂｉｅｒ	呼叫热线　４００８－１００－３００　服务邮箱　ｋｆ＠ｐｅｏｐｌｅｄａｉｌｙ．ｃｏｍ．ｃｎ
汽车	福建公务员局三菱君阁交车仪式顺利举行	２０１２年７月６日，福建省公务员局三菱君阁交车仪式在华夏汽车城福建东南汽贸顺利举行。本次省公务员局采购我司１０辆三菱君阁汽车作为福建省人事考试试卷运送专用车派往各地使用，本次批量采购也是我司于省公务员局首次合作，为后续继续深入开展合作奠定了基础。＝怀狄鞘缴细＝ㄆ车工业集团副总经理暨福建省东南汽车贸易有限公司董事长李岩峰同志与福建省公务员局黄正风副局长分别作了重要讲话，交车仪式在彩炮声中顺利落下帷幕。＃保福建公务员局三菱君阁交车仪式顺利举行
汽车	ＨＫ（５１）	ＨＫ　车型＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海保保６５万Ｊ谐〖郏海保保６５－１１．６５万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海保玻２０万Ｊ谐〖郏海保玻２０－１２．２０万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海保玻２０万Ｊ谐〖郏海保玻２０－１２．２０万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海保矗１０万Ｊ谐〖郏海保矗１０－１４．１０万＃档手动Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海保担２５万Ｊ谐〖郏海保担２５－１５．２５万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海保叮５０万Ｊ谐〖郏海保叮５０－１６．５０万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海玻保４０万Ｊ谐〖郏海玻保４０－２１．４０万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海玻担１０万Ｊ谐〖郏海玻担１０－２５．１０万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海玻叮３０万Ｊ谐〖郏海玻叮３０－２６．３０万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海玻叮３０万Ｊ谐〖郏海玻叮３０－２６．３０万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海常埃００万Ｊ谐〖郏海常埃００－３０．００万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海常埃５０万Ｊ谐〖郏海常埃５０－３０．５０万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海常埃７０万Ｊ谐〖郏海常埃７０－３０．７０万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海常保５０万Ｊ谐〖郏海常保５０－３１．５０万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海常罚３０万Ｊ谐〖郏海常罚３０－３７．３０万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海担福００万Ｊ谐〖郏海担福００－５８．００万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海担梗２０万Ｊ谐〖郏海担梗２０－５９．２０万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海担梗６０万Ｊ谐〖郏海担梗６０－５９．６０万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海叮埃００万Ｊ谐〖郏海叮埃００－６０．００万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海梗矗００万Ｊ谐〖郏海梗矗００－９４．００万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＪ谐〖郏海矗梗８０－４９．８０万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＪ谐〖郏海叮担００－６５．００万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＪ谐〖郏海玻叮５０－２６．５０万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭＪ谐〖郏海玻矗２０－２４．２０万＃兜凳侄Ｓ秃模海玻矗０Ｌ／１００ＫＭＪ谐〖郏海担玻２０－５２．２０万＃档凳侄Ｓ秃模海玻常０Ｌ／１００ＫＭ＃档手动Ｓ秃模海保福０Ｌ／１００ＫＭＪ谐〖郏海玻保５０－２１．５０万＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃档手自一体Ｓ秃模海Ｌ／１００ＫＭ＃龋恕。玻８Ｌ车型＃档凳侄Ｓ秃模海Ｌ／１００ＫＭ＃龋恕。矗８Ｌ车型＃兜凳侄Ｓ秃模海玻矗０Ｌ／１００ＫＭＪ谐〖郏海担叮２０－５６．２０万＃档凳侄Ｓ秃模海玻担０Ｌ／１００ＫＭＪ谐〖郏海梗福００－９８．００万＃档凳侄Ｓ秃模海玻常０Ｌ／１００ＫＭＪ谐〖郏海担玻２０－５２．２０万＃档凳侄Ｓ秃模海玻常０Ｌ／１００ＫＭＪ谐〖郏海梗叮００－９６．００万ＨＫ　１０．５Ｌ车型＃档手动Ｓ秃模海Ｌ／１００ＫＭＶ傅技郏海叮梗００万Ｊ谐〖郏海叮梗００－６９．００万
